id,Kanji,Strokes,Grade,"Kanji Classification",JLPT-test,"Name of Radical","Reading within Joyo","Reading beyond Joyo","# of On","On within Joyo","Kanji ID in Nelson","# of Meanings of On","Translation of On","# of Kun within Joyo with inflections","# of Kun within Joyo without inflections","Kun within Joyo","# of Meanings of Kun","Translation of Kun","Year of Inclusion"
24,畏,9,7,"象形 Pictographic",-,"Ta, Tahen",イ、おそ-れる,かしこ,1,i,3742,3,"fear, be overawed, be apprehensive",1,1,oso(reru),3,"fear, be overawed, be apprehensive",2010
25,胃,9,4,"会意 Com. Ideographic",2,"Niku, Nikuzuki",イ,,1,i,4793,4,"stomach; paunch, crop, craw",0,0,-,0,-,1981
26,尉,11,7,"会意 Com. Ideographic",1,Sun,イ,じょう,1,i,1383,4,"jailer; old man; rank; company officer",0,0,-,0,-,1981
27,異,11,6,"象形 Pictographic",1,"Ta, Tahen",イ、こと,あや,1,i,3757,4,"uncommonness, strangeness, queerness; difference",1,1,koto(naru),3,"differ, vary; be unusual",1981
28,移,11,5,"会意 Com. Ideographic",2,"Nogi, Nogihen",イ、うつ-る、うつ-す,,1,i,4141,10,"move, change, shift, pass into, drift; soak in; be infected, catch (a cold); catch fire, spread",2,1,"utsu(ru), utsu(su)",14,"move, change, shift, pass into, drift; soak in; be infected, catch (a cold); catch fire, spread; transfer; pour into, divert(attention), give (a disease to someone)",1981
29,萎,11,7,"形声 Phonetic",-,Kusakanmuri,イ、な-える,しぼ、しお,1,i,5087,5,"wither, droop, weaken; be paralyzed, be lame",1,1,na(eru),5,"wither, droop, weaken; be paralyzed, be lame",2010
30,偉,12,7,"形声 Phonetic",2,"Hito, Ninben, Hitoyane",イ、えら-い,,1,i,285,1,greatness,1,1,era(i),4,"great, famous, excellent, remarkable",1981
31,椅,12,7,"形声 Phonetic",1,"Ki, Kihen",イ,,1,i,2737,1,chair,0,0,-,0,-,2010
32,彙,13,7,"象形 Pictographic",-,Keigashira,イ,,1,i,1709,1,"same kind",0,0,-,1,-,2010
33,意,13,3,"会意 Com. Ideographic",3,"Kokoro, Risshinben, Shitagokoro",イ,,1,i,1926,11,"mind, heart; care; liking, taste; inclination, will, intention; thought, idea; desire",0,0,-,0,-,1981
34,違,13,7,"形声 Phonetic",2,Shinnyoo,イ、ちが-う、ちが-える,たが,1,i,6099,6,"differ, vary; disagree with; be mistaken; cross or pass (someone); No (negation)",2,1,"chiga(u), chiga(eru)",14,"differ, vary; disagree with; be mistaken; cross or pass (someone); No (negation); change, alter, disguise; make a mistake; break (a promise); sprain, dislocate; cross (two sticks)",1981
35,維,14,7,"形声 Phonetic",1,"Ito, Itohen",イ,,1,i,4516,2,"tie, rope",0,0,-,0,-,1981
36,慰,15,7,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",イ、なぐさ-める、なぐさ-む,,1,i,1972,3,"amuse oneself; make sport of; seduce",2,1,"nagusa(meru), nagusa(mu)",6,"amuse oneself; make sport of; seduce; comfort, console, cheer",1981
37,遺,15,6,"形声 Phonetic",1,Shinnyoo,イ、[ユイ],のこ,2,"i, [yui]",6115,4,"leave behind; bequeath; save, reserve",0,0,-,0,-,1981
38,緯,16,7,"形声 Phonetic",1,"Ito, Itohen",イ,よこいと,1,i,4566,5,"woof; horizontal; left and right; parallels of latitude; latitude",0,0,-,0,-,1981
39,域,11,6,"形声 Phonetic",2,"Tsuchi, Tsuchihen",イキ,,1,iki,1030,4,"region; limits; stage, level",0,0,-,0,-,1981
40,育,8,3,"会意 Com. Ideographic",2,"Niku, Nikuzuki",イク、そだ-つ、そだ-てる、はぐく-む,,1,iku,4773,4,"be raised, be brought up, grow, grow up",3,2,"soda(tsu), soda(teru), haguku(mu)",7,"be raised, be brought up, grow, grow up; raise, rear, bring up",1981
41,一,1,1,"指事 Ideographic",4,Ichi,イチ、イツ、ひと、ひと-つ,,2,"ichi, 	itsu",1,2,"one, a",2,1,"hito, hito(tsu)",5,"one, a unit; the same; just; once",1981
42,壱,7,7,"象形 Pictographic",1,Samurai,イチ,,1,ichi,983,1,one,0,0,-,0,-,1981
43,逸,11,7,"会意 Com. Ideographic",1,Shinnyoo,イツ,イチ,1,itsu,6071,2,"idleness, leisure",0,0,-,0,-,1981
44,茨,9,7,"形声 Phonetic",-,Kusakanmuri,[いばら],,0,-,5017,2,"thorn, brier",1,1,[ibara],2,"thorn, brier",2010
45,芋,6,7,"形声 Phonetic",1,Kusakanmuri,いも,,0,-,4964,0,-,1,1,imo,1,potato,1981
46,引,4,2,"会意 Com. Ideographic",2,"Yumi, Yumihen",イン、ひ-く、ひ-ける,,1,in,1681,29,"draw, pull, haul, tug, jerk, drag, trail, bend, attract; lead (horses or captives); draw (lines); admit; install (utilities); quote, refer to; look up (words); subtract, reduce; apply, daub on; blunt (a sword); patronize; choose; draw (a line); catch (a cold); retreat, withdraw, retire; subside",2,1,"hi(ku), hi(keru)",33,"draw, pull, haul, tug, jerk, drag, trail, bend, attract; lead (horses or captives); draw (lines); admit; install (utilities); quote, refer to; look up (words); subtract, reduce; apply, daub on; blunt (a sword); patronize; choose; draw (a line); catch (a cold); retreat, withdraw, retire; subside; close, be over; can discount; slink away",1981
47,印,6,4,"会意 Com. Ideographic",2,"Fushizukuri, Warifu",イン、しるし,,1,in,630,3,"seal, stamp, mark",1,1,shirushi,14,"sign, mark; symbol, emblem; badge; evidence; souvenir; token; brand, trademark; signs, indications; omen; seal",1981
48,因,6,5,"会意 Com. Ideographic",2,Kunigamae,イン、よ-る,ちな,1,in,939,2,"cause, factor",1,1,yo(ru),2,"depend on, be limited to",1981
49,咽,9,7,"形声 Phonetic",-,"Kuchi, Kuchihen",イン,のど、むせ,1,in,788,2,"be choked, be smothered",0,0,-,0,-,2010
50,姻,9,7,"形声 Phonetic",1,"Onna, Onnahen",イン,,1,in,1215,1,marry,0,0,-,0,-,1981
51,員,10,3,"象形 Pictographic",3,"Kuchi, Kuchihen",イン,,1,in,808,3,"member; number; the one in charge",0,0,-,0,-,1981
52,院,10,3,"形声 Phonetic",3,Kozatohen,イン,エン,1,in,6447,8,"mansion; temple; palace; hospital; school; institution; congress; ex-emperor",0,0,-,0,-,1981
53,淫,11,7,"形声 Phonetic",-,"Mizu, Sanzui, Shitamizu",イン、みだ-ら,,1,in,3203,2,"lewdness, licentiousness",1,1,mida(ra),3,"licentious, indecent, lewd",2010
54,陰,11,7,"形声 Phonetic",1,Kozatohen,イン、かげ、かげ-る,,1,in,6462,15,"the yin principle; negative; melancholy; north side of a mountain; sex organs; secret; shadow; south side of a river; negative electrode; earth; bottom; back; inactivity; nighttime; moon",2,1,"kage, kage(ru)",6,"darken; cloud up; be obscured; shade; back; (your) assistance",1981
55,飲,12,3,"会意 Com. Ideographic",3,"Shoku, Shokuhen",イン、の-む,,1,in,6680,2,"drinking; feast",1,1,no(mu),9,"drink, taste, take; swallow, devour; smoke; conceal (a weapon); accept (an idea); despise",1981
56,隠,14,7,"形声 Phonetic",1,Kozatohen,イン、かく-す、かく-れる,オン,1,in,6480,6,"hide, conceal, cover, veil, cloak, disguise",2,1,"kaku(su), kaku(reru)",10,"hide, conceal, cover, veil, cloak, disguise; disappear; pass away; be anonymous; lurk",1981
57,韻,19,7,"形声 Phonetic",1,Oto,イン,,1,in,6611,3,"rhyme; elegance; tone",0,0,-,0,-,1981
58,右,5,1,"会意 Com. Ideographic",4,"Kuchi, Kuchihen",ウ、ユウ、みぎ,,2,"u, 	yuu",700,2,"right, right hand",1,1,migi,2,"right, right hand",1981
59,宇,6,6,"形声 Phonetic",2,Ukanmuri,ウ,,1,u,1309,4,"eaves; roof; house; heaven",0,0,-,0,-,1981
60,羽,6,2,"象形 Pictographic",2,Hane,ウ、は、はね,わ,1,u,4675,1,feather,2,2,"ha, hane",6,"feather; plumage, wing; blade, paddle, fan",1981
61,雨,8,1,"象形 Pictographic",4,"Ame, Amekanmuri",ウ、あめ、[あま],,1,u,6518,2,"rain, fainfall",2,2,"ame, [ama]",2,"rain, rainfall",1981
62,唄,10,7,"形声 Phonetic",-,"Kuchi, Kuchihen",[うた],バイ,0,-,802,0,-,1,1,[uta],1,"songs accompanied by the samisen",2010
63,鬱,29,7,"会意 Com. Ideographic",-,"Cho, Nioizake",ウツ,ふさ,1,utsu,2926,3,"gloom, depression, melancholy",0,0,-,0,-,2010
64,畝,10,7,"形声 Phonetic",-,"Ta, Tahen",うね,ポ、せ,0,-,3748,0,-,1,1,une,3,"ridge (in a field), furrow, rib or cord (in cloth)",1981
65,浦,10,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",うら,ホ、ポ,0,-,3156,0,-,1,1,ura,6,"creek, inlet; bay, gulf; beach, seacoast",1981
66,運,12,3,"形声 Phonetic",3,Shinnyoo,ウン、はこ-ぶ,,1,un,6092,5,"destiny, fate, lot, fortune, luck",1,1,hako(bu),4,"transport, carry; progress, advance",1981
67,雲,12,2,"形声 Phonetic",2,"Ame, Amekanmuri",ウン、くも,,1,un,6522,1,cloud,1,1,kumo,1,cloud,1981
68,永,5,5,"象形 Pictographic",2,"Mizu, Sanzui, Shitamizu",エイ、なが-い,,1,ei,3031,2,"long, lengthy",1,1,naga(i),2,"long, lengthy",1981
69,泳,8,3,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",エイ、およ-ぐ,,1,ei,3090,4,"swim; totter; keep afloat, get along",1,1,oyo(gu),4,"swim; totter; keep afloat, get along",1981
70,英,8,4,"形声 Phonetic",3,Kusakanmuri,エイ,はなぶさ、はな,1,ei,5008,4,"England, Britain; gifted person; wit",0,0,-,0,-,1981
71,映,9,6,"形声 Phonetic",3,"Nichi, Nichihen",エイ、うつ-る、うつ-す、は-える,,1,ei,2448,2,"reflecting; projection",3,2,"utsu(ru), utsu(su), ha(eru)",16,"shine, be brilliant; look attractive; be reflected; match, harmonize, be becoming; be taken (a photo); copy, transcribe, duplicate, reproduce, trace; describe, picture, photograph",1981
72,栄,9,4,"形声 Phonetic",2,"Ki, Kihen",エイ、さか-える、は-え、は-える,ヨウ,1,ei,2635,4,"prosperity, glory, splendor, honor",3,2,"saka(eru), ha(e), ha(eru)",7,"prosper, flourish, thrive; glory; shine, be brilliant; look attractive",1981
73,営,12,5,"形声 Phonetic",2,Tsukanmuri,エイ、いとな-む,,1,ei,857,2,"camp, performing",1,1,itona(mu),5,"perform (ceremoies); build; conduct (business); follow (a profession), operate  (a store)",1981
74,詠,12,7,"形声 Phonetic",1,"Gon, Gonben",エイ、よ-む,うた,1,ei,5584,4,"poem; song; singing; composing",1,1,yo(mu),2,"recite, chant",1981
75,影,15,7,"会意 Com. Ideographic",1,Sanzukuri,エイ、かげ,ヨウ,1,ei,1722,1,shadow,1,1,kage,7,"light; shadow; silhouette; phantom; reflection, figure, trace ",1981
76,鋭,15,7,"形声 Phonetic",2,"Kane, Kanehen",エイ、するど-い,,1,ei,6279,5,"sharpness; edge; (sharp) weapon; picked men (soldiers), the pick",1,1,surudo(i),8,"pointed, sharp; violent, scathing; keen (sense); sharp (ear); penetrating (eye); shrewd",1981
77,衛,16,5,"形声 Phonetic",1,Gyoogamae,エイ,エ、まも,1,ei,1776,1,protection,0,0,-,0,-,1981
78,易,8,5,"会意 Com. Ideographic",2,"Nichi, Nichihen",エキ、イ、やさ-しい,やす,2,"i, 	eki",2432,4,"easiness; divination, augury, fortunetelling",1,1,yasa(shii),4,"easy, simple, light; habitual",1981
79,疫,9,7,"形声 Phonetic",1,Yamaidare,エキ、[ヤク],,2,"eki, [yaku]",3783,1,epidemic,0,0,-,0,-,1981
80,益,10,5,"会意 Com. Ideographic",1,Sara,エキ、[ヤク],ますます、ま,2,"eki, [yaku]",3891,5,"gain, benefit, profit, use, advantage",0,0,-,0,-,1981
81,液,11,5,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",エキ,,1,eki,3199,5,"liquid, fluid, juice, sap, secretion",0,0,-,0,-,1981
82,駅,14,3,"形声 Phonetic",3,"Uma, Umahen",エキ,,1,eki,6735,3,"post town; stage; station",0,0,-,0,-,1981
83,悦,10,7,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",エツ,よろこ,1,etsu,1868,4,"joy, rapture, ecstasy, amusement",0,0,-,0,-,1981
84,越,12,7,"形声 Phonetic",2,"Hashiru, Soonyoo",エツ、こ-す、こ-える,オチ、エチ、オッ,1,etsu,5851,10,"cross; pass; spend; tide over; outrun; exceed; surpass; move; go; come",2,1,"ko(su), ko(eru)",14,"cross; pass; spend; tide over; outrun; exceed; surpass; move; go; come; go beyond; exceed; clear (an obstacle); overstep (authority)",1981
85,謁,15,7,"形声 Phonetic",1,"Gon, Gonben",エツ,,1,etsu,5637,1,"audience (with a ruler)",0,0,-,0,-,1981
86,閲,15,7,"形声 Phonetic",1,Mongamae,エツ,,1,etsu,6404,2,"inspection, revision",0,0,-,0,-,1981
87,円,4,1,"形声 Phonetic",4,Doogamae,エン、まる-い,まど,1,en,385,2,"circle; yen",1,1,maru(i),3,"round, circular, spherical",1981
88,延,8,6,"会意 Com. Ideographic",2,Ennyoo,エン、の-びる、の-べる、の-ばす,び,1,en,1657,1,stretching,3,1,"no(biru), no(beru), no(basu)",25,"extend, lengthen, stretch, spread; be postponed; increase; grow; progress, develop; be straightened, be flattened, be smoothed; be exhausted; let (nails) grow; straighten; uncoil; spread out; reach out; postpone; dilute; smooth out; develop (talents); amass (riches); make (a bed); widen",1981
89,沿,8,6,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",エン、そ-う,,1,en,3096,1,"following along",1,1,so(u),3,"run along; lie along; be situated on",1981
90,炎,8,7,"会意 Com. Ideographic",1,"Hi, Hihen, Renga",エン、ほのお,,1,en,3404,1,inflammation,1,1,honoo,2,"flame, blaze",1981
91,怨,9,7,"形声 Phonetic",-,"Kokoro, Risshinben, Shitagokoro",エン、オン,うら,2,"en, on",1819,3,"bear a grudge, show resentment; be jealous",0,0,-,0,-,2010
92,宴,10,7,"会意 Com. Ideographic",1,Ukanmuri,エン,うたげ,1,en,1332,4,"feast, banquet, party, entertainment",0,0,-,0,-,1981
93,媛,12,7,"形声 Phonetic",-,"Onna, Onnahen",エン,ひめ,1,en,1244,2,"princess; young lady of noble birth",0,0,-,0,-,2010
94,援,12,7,"形声 Phonetic",1,Tehen,エン,,1,en,2230,2,"help, save",0,0,-,0,-,1981
95,園,13,2,"形声 Phonetic",2,Kunigamae,エン、その,オン,1,en,962,4,"garden, yard, plantation, farm",1,1,sono,2,"garden, park",1981
96,煙,13,7,"形声 Phonetic",2,"Hi, Hihen, Renga",エン、けむ-る、けむり、けむ-い,,1,en,3456,1,smoke,3,2,"kemu(ru), kemuri, kemu(i)",6,"smoke, smolder, be smoky; smoky; fumes; spray",1981
97,猿,13,7,"形声 Phonetic",1,"Inu, Kemonohen",エン、さる,,1,en,3600,1,monkey,1,1,saru,6,"monkey, ape; minic; sly person; door bolt; fastener",1981
98,遠,13,2,"形声 Phonetic",2,Shinnyoo,エン、[オン]、とお-い,,2,"en, [on]",6101,4,"far, distant, remote; hard (of hearing)",1,1,too(i),4,"far, distant, remote; hard (of hearing)",1981
99,鉛,13,7,"形声 Phonetic",1,"Kane, Kanehen",エン、なまり,,1,en,6251,1,lead(metal),1,1,namari,1,lead(metal),1981
100,塩,13,4,"形声 Phonetic",2,"Tsuchi, Tsuchihen",エン、しお,,1,en,1075,1,salt,1,1,shio,2,"salt, seasoning",1981
101,演,14,5,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",エン,,1,en,3310,7,"perform, play, act, enact, render, stage, put on",0,0,-,0,-,1981
102,縁,15,7,"形声 Phonetic",1,"Ito, Itohen",エン、ふち,えにし、へり、よ,1,en,4553,15,"relation, connection, affinity, ties, bond; blood relation; karma relation; fate, destiny; chance; marriage; acquaintance; marriage alliance; veranda, balcony",1,1,fuchi,14,"edge, verge, shore, side, brink, margin, brim, rim, flange, frill, frame, bank, fringe, border",1981
103,艶,19,7,"会意 Com. Ideographic",-,Iro,エン、つや,,1,en,4957,4,"luster, glaze, polish; charm",1,1,tsuya,8,"gloss, luster, glaze, polish, brightness; charm, romance, love ",2010
104,汚,6,7,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い,,1,o,3047,8,"make dirty, stain, pollute, defile, contaminate; disgrace, dishonor; rape",6,3,"kega(su), kega(reru), kega(rawashii), yogo(su), yogo(reru), kitana(i)",28,"make dirty, stain, pollute, defile, contaminate; disgrace, dishonor; rape; get dirty; be defiled; be contaminated; filthy; unfair; soil; debauch; be stained, tarnish; dirty, filthy, unclean, soiled; shabby; indecent, obscene; base, sordid; stingy; foul",1981
105,王,4,1,"象形 Pictographic",2,"Tama, Oo",オウ,,1,oo,3619,4,"king, rule, magnate, baron",0,0,-,0,-,1981
106,凹,5,7,"象形 Pictographic",1,Ukebako,オウ,,1,oo,444,2,"hollow, sunken",0,0,-,0,-,1981
107,央,5,3,"象形 Pictographic",2,Dai,オウ,ヨウ、つ,1,oo,1140,1,middle,0,0,-,0,-,1981
108,応,7,5,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",オウ、こた-える,,1,oo,1789,2,"yes, all right",1,1,kota(eru),4,"respond, answer; be affected by (pain or stimulation); be effective",1981
109,往,8,5,"形声 Phonetic",1,Gyooninben,オウ,い、ゆ,1,oo,1733,2,"let go; chase away",0,0,-,0,-,1981
110,押,8,7,"形声 Phonetic",2,Tehen,オウ、お-す、お-さえる,,1,oo,2128,8,"push, shove; press, squash, compress; stamp, seal; do in spite of",2,1,"o(su), o(saeru)",24,"push, shove; press, squash, compress; stamp, seal; do in spite of; stop, check, restrain, pin down; suppress, subdue, control; catch, arrest; govern; stop (the ears); withhold; attach, seize; secure (evidence), estimate conservatively",1981
111,旺,8,7,"形声 Phonetic",-,"Nichi, Nichihen",オウ,,1,oo,2427,4,"flourishing, successful; beautiful; vigorous",0,0,-,0,-,2010
112,欧,8,7,"会意 Com. Ideographic",2,Akubi,オウ,,1,oo,2931,1,Europe,0,0,-,0,-,1981
113,殴,8,7,"会意 Com. Ideographic",1,Rumata,オウ、なぐ-る,,1,oo,2990,3,"hit, beat, thrash",1,1,nagu(ru),3,"hit, beat, thrash",1981
114,桜,10,5,"形声 Phonetic",1,"Ki, Kihen",オウ、さくら,,1,oo,2664,4,"flowering cherry; cherry blossoms; pink color; horse meat",1,1,sakura,4,"flowering cherry; cherry blossoms; pink color; horse meat",1981
115,翁,10,7,"形声 Phonetic",-,Hane,オウ,おきな,1,oo,4677,2,"old man, venerable",0,0,-,0,-,1981
116,奥,12,7,"会意 Com. Ideographic",2,Dai,オウ、おく,,1,oo,1165,2,"heart, interior",1,1,oku,2,"heart, interior",1981
117,横,15,3,"形声 Phonetic",2,"Ki, Kihen",オウ、よこ,,1,oo,2854,1,horizontal,1,1,yoko,7,"side, flank; horizontal direction; width, breadth, beam; woof",1981
118,岡,8,7,"会意 Com. Ideographic",-,"Yama, Yamahen",[おか],コウ,0,-,1460,0,-,1,1,[oka],3,"hill, knoll, rising ground",2010
119,屋,9,3,"会意 Com. Ideographic",3,Shikabane,オク、や,,1,oku,1421,2,"house, roof",1,1,ya,5,"shop, store; seller, dealer; business",1981
120,億,15,4,"形声 Phonetic",2,"Hito, Ninben, Hitoyane",オク,,1,oku,321,1,"100,000,000",0,0,-,0,-,1981
121,憶,16,7,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",オク,おぼ,1,oku,2001,2,"think, remember",0,0,-,0,-,1981
122,臆,17,7,"形声 Phonetic",-,"Niku, Nikuzuki",オク,,1,oku,4883,4,"timidity; breast, heart, mind",0,0,-,0,-,2010
123,虞,13,7,"形声 Phonetic",-,Toragashira,おそれ,グ,0,-,5272,0,-,1,1,osore,4,"fear; anxiety; concern; uneasiness",1981
124,乙,1,7,"象形 Pictographic",1,"Otsu, Otsunyoo",オツ,,1,otsu,56,4,"B, second; the latter; duplicate",0,0,-,0,-,1981
125,俺,10,7,"形声 Phonetic",1,"Hito, Ninben, Hitoyane",おれ,,0,-,240,0,-,1,1,ore,1,I,2010
126,卸,9,7,"会意 Com. Ideographic",1,"Fushizukuri, Warifu",おろ-す、おろし,,0,-,641,0,-,2,2,"oro(su), oroshi",3,"sell at wholesale; grated (vegetables); wholesale",1981
127,音,9,1,"会意 Com. Ideographic",3,Oto,オン、イン、おと、ね,,2,"on, 	in",6607,4,"sound; noise; pronunciation; tone",2,2,"oto, ne",8,"sound, noise, roar; fame; tone, note, voice, chirping",1981
128,恩,10,5,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",オン,,1,on,1851,6,"kindness, goodness, favor, mercy, blessing, benefit",0,0,-,0,-,1981
129,温,12,3,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",オン、あたた-か、あたた-かい、あたた-まる、あたた-める,ウン,1,on,3246,2,"warm, heat",4,1,"atata(ka), atata(kai), atata(maru), atata(meru)",8,"warm, heat; warm oneself, sun oneself, get warm; mild, genial, cordial ",1981
130,穏,16,7,"形声 Phonetic",1,"Nogi, Nogihen",オン、おだ-やか,,1,on,4175,4,"calm, quiet, peace; moderation",1,1,oda(yaka),4,"calm, quiet, peace; moderation",1981
131,下,3,1,"指事 Ideographic",4,Ichi,カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる,,2,"ka, 	ge",9,4,"low class; inferiority; second, or last volume",10,6,"shita, shimo, moto, sa(geru), sa(garu), kuda(ru), kuda(su), kuda(saru), o(rosu), o(riru)",75,"come down, go down; get down, descend; be given; be less than; have diarrhea; retire; leave the capital; give, confer; oblige, favor with; let down, lower; issue (orders); hand down (decisions); have diarrhea; lay (hands) on; step down; get off; swoop down; land; take down, pull down, lift down, drop; launch; let off (passengers); wear (for the first time); cause (abortion); grate; invoke; exercise; borrow (in subtraction); lock; hang down, dangle; fall; abate; wane; stand back; go behind; be granted; hang; wear (a decoration); reduce (rank); move back; let go, dismiss; remove; grant; draw (money), withdraw; lower part, bottom, base, foot; downstairs; subordinate place; below average; part payment; under, lower; sub-, subordinate; preliminary; the foot; lower stream; latter; lower part of the body; the masses, the servants; the governed; vicinity",1981
132,化,4,3,"会意 Com. Ideographic",2,Hi,カ、ケ、ば-ける、ば-かす,,2,"ka, 	ke",580,5,"influence; bewitch, enchant, confuse, delude",2,1,"ba(keru), ba(kasu)",5," bewitch, enchant, confuse, delude; appear in disguise",1981
133,火,4,1,"象形 Pictographic",4,"Hi, Hihen, Renga",カ、ひ、[ほ],コ,1,ka,3394,2,"fire, Tuesday",2,2,"hi, [ho]",3,"fire, flame, blaze",1981
134,加,5,4,"会意 Com. Ideographic",2,Chikara,カ、くわ-える、くわ-わる,ケ,2,ka,523,2,"addition, increase",2,1,"kuwa(eru), kuwa(waru)",9,"join in; accede to; gain in (influence); increase; add, sum up; append; include; inflict",1981
135,可,5,5,"会意 Com. Ideographic",2,"Kuchi, Kuchihen",カ,,1,ka,701,5,"good, passable; approval; safe to say, ability to do",0,0,-,0,-,1981
