id,"Comp. Word",Frequency,"Grammatical Feature",Pronunciation,"English Translation",Position,Kanji,KanjiID
22117,性悪,7,"general noun",seiaku,ill-natured,R,悪,6
25188,兇悪,2,"general noun",kyooaku,atrocious,R,悪,6
26125,羞悪,2,"general noun",syuuo,"shame and hatred of evil",R,悪,6
27050,積悪,1,"general noun",sekiaku,"many sins",R,悪,6
2581,握手,3364,"light-verb -suru attached",akusyu,handshake,L,握,7
10687,握力,180,"general noun",akuryoku,grip,L,握,7
1283,把握,8745,"light-verb -suru attached",haaku,grasp,R,握,7
4682,掌握,1252,"light-verb -suru attached",syooaku,grasping,R,握,7
904,圧力,13033,"general noun",aturyoku,pressure,L,圧,8
1922,圧勝,5114,"light-verb -suru attached",assyoo,"complete victory",L,圧,8
2144,圧倒,4335,"light-verb -suru attached",attoo,overwhelm,L,圧,8
2754,圧迫,3019,"light-verb -suru attached",appaku,pressure,L,圧,8
2836,圧縮,2904,"light-verb -suru attached",assyuku,compression,L,圧,8
5372,圧巻,963,"general noun",akkan,highlight,L,圧,8
7314,圧政,495,"general noun",assei,"despotic administration",L,圧,8
10769,圧死,176,"light-verb -suru attached",assi,"crushing to death",L,圧,8
13527,圧殺,84,"light-verb -suru attached",assatu,"crushing to death",L,圧,8
14062,圧制,72,"general noun",assei,oppression,L,圧,8
16580,圧延,36,"light-verb -suru attached",atuen,rolling,L,圧,8
17190,圧雪,30,"general noun",assetu,"compacted snow",L,圧,8
20486,圧搾,11,"light-verb -suru attached",assaku,pressure,L,圧,8
21099,圧着,9,"light-verb -suru attached",attyaku,crimp,L,圧,8
25005,圧服,2,"light-verb -suru attached",appuku,overpower,L,圧,8
26157,圧砕,1,"light-verb -suru attached",assai,crushing,L,圧,8
2968,重圧,2694,"general noun",zyuuatu,"strong pressure",R,圧,8
3118,弾圧,2502,"light-verb -suru attached",danatu,oppression,R,圧,8
3478,制圧,2117,"light-verb -suru attached",seiatu,"gaining total control",R,圧,8
3745,気圧,1873,"general noun",kiatu,"atmospheric pressure",R,圧,8
3772,血圧,1854,"general noun",ketuatu,"blood pressure",R,圧,8
4464,抑圧,1360,"light-verb -suru attached",yokuatu,check,R,圧,8
4959,鎮圧,1125,"light-verb -suru attached",tinatu,suppression,R,圧,8
5966,高圧,770,"general noun",kooatu,"high voltage",R,圧,8
7421,外圧,478,"general noun",gaiatu,"external pressure",R,圧,8
7648,威圧,445,"light-verb -suru attached",iatu,coercion,R,圧,8
8463,電圧,347,"general noun",denatu,voltage,R,圧,8
9446,油圧,256,"general noun",yuatu,"oil pressure",R,圧,8
9608,水圧,244,"general noun",suiatu,pressure,R,圧,8
9627,変圧,243,"light-verb -suru attached",henatu,transformation,R,圧,8
10323,風圧,201,"general noun",huuatu,"wind pressure",R,圧,8
10555,気圧,187,suffix,kiatu,"atmospheric pressure",R,圧,8
11018,指圧,166,"general noun",siatu,"finger pressure massage or therapy",R,圧,8
11848,強圧,132,"light-verb -suru attached",kyooatu,pressure,R,圧,8
13698,減圧,80,"light-verb -suru attached",genatu,decompression,R,圧,8
13952,低圧,75,"general noun",teiatu,"low pressure",R,圧,8
14849,内圧,59,"general noun",naiatu,"internal pressure",R,圧,8
18200,耐圧,23,"general noun",taiatu,pressure-resistant,R,圧,8
21978,禁圧,7,"light-verb -suru attached",kinatu,suppression,R,圧,8
25922,暴圧,2,"light-verb -suru attached",booatu,"violent suppression",R,圧,8
26630,光圧,1,"general noun",kooatu,"light pressure",R,圧,8
4675,取扱,1255,"general noun",toriatukai,treatment,R,扱,9
16581,宛名,36,"general noun",atena,name,L,宛,10
19980,宛先,13,"general noun",atesaki,address,L,宛,10
25006,宛然,2,"general noun",enzen,"as if",L,宛,10
26158,宛字,1,"general noun",atezi,"kanji used as a phonetic symbol, instead of for the meaning",L,宛,10
25954,名宛,2,"general noun",naate,address,R,宛,10
11488,砂嵐,146,"general noun",sunaarasi,sandstorm,R,嵐,11
15680,青嵐,47,"general noun",seiran,"wind blowing through fresh verdure",R,嵐,11
17039,晴嵐,32,"general noun",seiran,"mountain vapor",R,嵐,11
19176,山嵐,17,"general noun",yamaarasi,porcupine,R,嵐,11
24037,夜嵐,4,"general noun",yoarasi,"night storm",R,嵐,11
116,安全,60307,"adjectival noun, na-adjective",anzen,safety,L,安,12
211,安打,41445,"general noun",anda,"safe hit",L,安,12
387,安定,27606,"adjectival noun, na-adjective",antei,stability,L,安,12
1120,安心,10457,"light-verb -suru attached",ansin,relief,L,安,12
1428,安保,7689,"general noun",anpo,"US-Japan Security Treaty",L,安,12
2613,安値,3273,"general noun",yasune,"low price",L,安,12
2732,安易,3054,"adjectival noun, na-adjective",ani,easy,L,安,12
3534,安否,2075,"general noun",anpi,safety,L,安,12
4057,安堵,1607,"light-verb -suru attached",ando,relief,L,安,12
4285,安価,1453,"adjectival noun, na-adjective",anka,"low price",L,安,12
5629,安楽,871,"adjectival noun, na-adjective",anraku,ease,L,安,12
6160,安心,719,"adjectival noun, na-adjective",ansin,relief,L,安,12
6848,安置,569,"light-verb -suru attached",anti,enshrinement,L,安,12
7709,安泰,435,"adjectival noun, na-adjective",antai,peace,L,安,12
7995,安住,396,"light-verb -suru attached",anzyuu,"living in peace",L,安,12
8279,安静,364,"adjectival noun, na-adjective",ansei,rest,L,安,12
10688,安直,180,"adjectival noun, na-adjective",antyoku,inexpensive,L,安,12
13106,安産,94,"light-verb -suru attached",anzan,"easy delivery",L,安,12
13159,安居,93,"light-verb -suru attached",ankyo,"easy life",L,安,12
13352,安寧,88,"general noun",annei,peace,L,安,12
13394,安穏,87,"adjectival noun, na-adjective",annon,peace,L,安,12
13727,安眠,79,"light-verb -suru attached",anmin,"quiet sleep",L,安,12
13841,安物,77,"general noun",yasumono,"cheap article",L,安,12
15345,安宿,51,"general noun",yasuyado,"cheap hotel",L,安,12
15411,安息,50,"light-verb -suru attached",ansoku,rest,L,安,12
15641,安閑,47,"general noun",ankan,easygoingness,L,安,12
19309,安逸,16,"adjectival noun, na-adjective",anitu,ease,L,安,12
19310,安手,16,"adjectival noun, na-adjective",yasude,"cheap kind",L,安,12
21473,安危,8,"general noun",anki,fate,L,安,12
23435,安座,4,"light-verb -suru attached",anza,"sitting quietly",L,安,12
26160,安気,1,"adjectival noun, na-adjective",anki,ease,L,安,12
26161,安神,1,"light-verb -suru attached",ansin,relief,L,安,12
310,不安,32309,"adjectival noun, na-adjective",huan,anxiety,R,安,12
681,治安,17248,"general noun",tian,"public order",R,安,12
1677,保安,6171,"general noun",hoan,"peace preservation",R,安,12
1796,公安,5701,"general noun",kooan,"public safety",R,安,12
2491,目安,3562,"general noun",meyasu,criterion,R,安,12
3351,平安,2252,"general noun",heian,peace,R,安,12
4115,慰安,1574,"light-verb -suru attached",ian,solace,R,安,12
4592,割安,1297,"adjectival noun, na-adjective",wariyasu,economical,R,安,12
6282,格安,688,"general noun",kakuyasu,cheap,R,安,12
6288,格安,687,"adjectival noun, na-adjective",kakuyasu,cheap,R,安,12
9550,平安,248,"adjectival noun, na-adjective",heian,peace,R,安,12
13678,大安,81,"general noun",taian,"lucky day",R,安,12
16093,先安,42,"adjectival noun, na-adjective",sakiyasu,"lower future quotations",R,安,12
16289,奉安,40,"light-verb -suru attached",hooan,enshrine,R,安,12
18165,子安,23,"general noun",koyasu,"safe, easy childbirth",R,安,12
27760,硫安,1,"general noun",ryuuan,"ammonium sulfate",R,安,12
1877,案内,5308,"light-verb -suru attached",annai,information,L,案,13
3408,案件,2205,"general noun",anken,"matter in question",L,案,13
10987,案外,167,"adjectival noun, na-adjective",angai,unexpectedly,L,案,13
15796,案文,45,"general noun",anbun,draft,L,案,13
16131,案分,41,"light-verb -suru attached",anbun,"proportional division or distribution",L,案,13
17677,案出,26,"light-verb -suru attached",ansyutu,contrivance,L,案,13
207,法案,41674,"general noun",hooan,bill,R,案,13
363,提案,28693,"light-verb -suru attached",teian,proposal,R,案,13
2396,原案,3752,"general noun",genan,"original plan",R,案,13
2866,草案,2858,"general noun",sooan,draft,R,案,13
3382,懸案,2223,"general noun",kenan,"pending question",R,案,13
3824,立案,1797,"light-verb -suru attached",rituan,draft,R,案,13
3927,廃案,1712,"general noun",haian,"rejected bill",R,案,13
4058,素案,1607,"general noun",soan,draft,R,案,13
4128,対案,1565,"general noun",taian,counter-proposal,R,案,13
4238,事案,1496,"general noun",zian,concern,R,案,13
4369,考案,1406,"light-verb -suru attached",kooan,plan,R,案,13
4851,発案,1167,"light-verb -suru attached",hatuan,idea,R,案,13
4905,試案,1146,"general noun",sian,"tentative plan",R,案,13
5691,議案,847,"general noun",gian,"legislative bill",R,案,13
5863,勘案,796,"light-verb -suru attached",kanan,"taking into consideration",R,案,13
7749,私案,430,"general noun",sian,"private plan",R,案,13
8464,同案,347,"general noun",dooan,"same plan",R,案,13
8772,思案,315,"light-verb -suru attached",sian,thought,R,案,13
9055,答案,288,"general noun",tooan,"examination paper",R,案,13
9666,図案,240,"general noun",zuan,design,R,案,13
9894,文案,226,"general noun",bunan,draft,R,案,13
10136,妙案,211,"general noun",myooan,"ingenious idea",R,案,13
10261,代案,204,"general noun",daian,"alternate plan",R,案,13
11331,翻案,153,"light-verb -suru attached",honan,adaptation,R,案,13
11453,一案,147,"general noun",itian,idea,R,案,13
11572,成案,143,"general noun",seian,"definite plan",R,案,13
12153,腹案,123,"general noun",hukuan,"one's plan",R,案,13
13724,名案,80,"general noun",meian,"good idea",R,案,13
13809,新案,78,"general noun",sinan,"new idea or design",R,案,13
14234,起案,69,"light-verb -suru attached",kian,drafting,R,案,13
15840,創案,45,"light-verb -suru attached",sooan,"original idea",R,案,13
19272,本案,17,"general noun",honan,"this plan",R,案,13
20849,検案,10,"light-verb -suru attached",kenan,autopsy,R,案,13
22255,方案,7,"general noun",hooan,plan,R,案,13
22419,教案,6,"general noun",kyooan,"lesson or teaching plan",R,案,13
25226,愚案,2,"general noun",guan,"foolish plan",R,案,13
25301,公案,2,"general noun",kooan,"Zen question for meditation",R,案,13
2327,暗殺,3893,"light-verb -suru attached",ansatu,assassination,L,暗,14
5308,暗号,986,"general noun",angoo,code,L,暗,14
5985,暗闇,765,"general noun",kurayami,darkness,L,暗,14
6220,暗雲,702,"general noun",anun,"dark clouds",L,暗,14
6502,暗礁,638,"general noun",ansyoo,reef,L,暗,14
6816,暗証,574,"general noun",ansyoo,code,L,暗,14
7063,暗黒,533,"general noun",ankoku,darkness,L,暗,14
7064,暗示,533,"light-verb -suru attached",anzi,hint,L,暗,14
7145,暗黙,520,"general noun",anmoku,tacit,L,暗,14
7641,暗記,446,"light-verb -suru attached",anki,memorization,L,暗,14
7900,暗転,409,"light-verb -suru attached",anten,"theatrical blackout",L,暗,14
8633,暗躍,328,"light-verb -suru attached",anyaku,"secret manoeuvering",L,暗,14
9111,暗部,283,"general noun",anbu,"dark side",L,暗,14
11583,暗唱,142,"light-verb -suru attached",ansyoo,recitation,L,暗,14
12702,暗闘,105,"light-verb -suru attached",antoo,"secret feud",L,暗,14
13353,暗算,88,"light-verb -suru attached",anzan,"mental arithmetic",L,暗,14
15120,暗室,54,"general noun",ansitu,"dark room",L,暗,14
15263,暗夜,52,"general noun",anya,"dark night",L,暗,14
15720,暗然,46,"general noun",anzen,dark,L,暗,14
16489,暗喩,37,"general noun",anyu,metaphor,L,暗,14
17556,暗渠,27,"general noun",ankyo,"subterranean drain",L,暗,14
17557,暗譜,27,"light-verb -suru attached",anpu,"memorizing musical scores",L,暗,14
17966,暗澹,24,"general noun",antan,dark,L,暗,14
18912,暗幕,18,"general noun",anmaku,"blackout curtain",L,暗,14
19311,暗色,16,"general noun",ansyoku,"dark colour",L,暗,14
19522,暗誦,15,"light-verb -suru attached",ansyoo,recitation,L,暗,14
20487,暗流,11,"general noun",anryuu,undercurrent,L,暗,14
20787,暗愚,10,"adjectival noun, na-adjective",angu,imbecility,L,暗,14
21474,暗合,8,"light-verb -suru attached",angoo,coincidence,L,暗,14
21475,暗箱,8,"general noun",anbako,"camera obscura",L,暗,14
22342,暗鬱,6,"adjectival noun, na-adjective",anutu,gloom,L,暗,14
26163,暗君,1,"general noun",ankun,"foolish ruler",L,暗,14
26164,暗函,1,"general noun",anbako,"camera obscura",L,暗,14
26165,暗涙,1,"general noun",anrui,"silent tears",L,暗,14
4187,明暗,1531,"general noun",meian,"light and darkness",R,暗,14
25516,真暗,2,"adjectival noun, na-adjective",makkura,"total darkness",R,暗,14
29,以上,121572,"nonselfsustaining noun",izyoo,"not less than",L,以,15
154,以来,49906,"possible to use as an adverb",irai,since,L,以,15
158,以降,48749,"possible to use as an adverb",ikoo,"on and after",L,以,15
351,以下,29607,"nonselfsustaining noun",ika,"not exceeding",L,以,15
352,以外,29561,"nonselfsustaining noun",igai,"with the exception of",L,以,15
694,以内,17015,"nonselfsustaining noun",inai,within,L,以,15
748,以前,15689,"possible to use as an adverb",izen,ago,L,以,15
2050,以後,4628,"possible to use as an adverb",igo,"after this",L,以,15
8016,以南,394,suffix,inan,"south of",L,以,15
9971,以西,221,suffix,isei,"... and westward",L,以,15
10553,以北,187,suffix,ihoku,"north of",L,以,15
14945,以東,57,"general noun",itoo,"... and eastward",L,以,15
15486,以南,49,"nonselfsustaining noun",inan,"south of",L,以,15
17308,以遠,29,suffix,ien,beyond,L,以,15
17558,以内,27,suffix,inai,within,L,以,15
22857,以西,5,"general noun",isei,"... and westward",L,以,15
24122,以北,3,"nonselfsustaining noun",ihoku,"north of",L,以,15
14416,所以,66,"general noun",yuen,reason,R,以,15
2823,衣装,2935,"general noun",isyoo,clothing,L,衣,16
2959,衣料,2701,"general noun",iryoo,clothing,L,衣,16
4436,衣類,1375,"general noun",irui,clothes,L,衣,16
5034,衣服,1096,"general noun",ihuku,clothes,L,衣,16
13528,衣裳,84,"general noun",isyoo,clothing,L,衣,16
13842,衣食,77,"general noun",isyoku,"food and clothing",L,衣,16
19523,衣鉢,15,"general noun",ihatu,"mysteries of one's master's art",L,衣,16
20489,衣冠,11,"general noun",ikan,"kimono and ancient head-dress",L,衣,16
21103,衣紋,9,"general noun",emon,dress,L,衣,16
24125,衣糧,3,"general noun",iryoo,"food and clothing",L,衣,16
25018,衣桁,2,"general noun",ikoo,"clothes rack",L,衣,16
26172,衣手,1,"general noun",koromode,sleeve,L,衣,16
5655,浴衣,859,"general noun",yukata,yukata,R,衣,16
7969,着衣,401,"light-verb -suru attached",tyakui,"one's clothes",R,衣,16
9779,更衣,233,"light-verb -suru attached",koromogae,"seasonal change of clothing",R,衣,16
9784,白衣,233,"general noun",hakui,"white robe",R,衣,16
9810,黒衣,231,"general noun",kurogo,"stage assistant dressed in black",R,衣,16
9862,脱衣,228,"light-verb -suru attached",datui,undressing,R,衣,16
10253,羽衣,204,"general noun",hagoromo,"angel's raiment",R,衣,16
16775,法衣,35,"general noun",hooe,vestment,R,衣,16
18051,僧衣,24,"general noun",sooi,"priest's garb",R,衣,16
18632,上衣,20,"general noun",uwagi,coat,R,衣,16
19251,濡衣,17,"general noun",nureginu,"false accusations",R,衣,16
21643,狩衣,8,"general noun",kariginu,kariginu,R,衣,16
22253,母衣,7,"general noun",horo,canopy,R,衣,16
